Title,Element Name,Data Value
Computer and Information Systems Managers,Artistic,1.5
Computer and Information Systems Managers,Social,2.41
Computer and Information Systems Managers,Enterprising,5.09
Computer and Information Systems Managers,Conventional,5.72
Financial Managers,Realistic,1.22
Financial Managers,Investigative,2.45
Financial Managers,Artistic,1.54
Financial Managers,Social,2.93
Financial Managers,Enterprising,7
Financial Managers,Conventional,5.7
Treasurers and Controllers,Realistic,1
Treasurers and Controllers,Investigative,2.4
Treasurers and Controllers,Artistic,1.28
Treasurers and Controllers,Social,2.7
Treasurers and Controllers,Enterprising,6.22
Treasurers and Controllers,Conventional,6.15
Investment Fund Managers,Realistic,1.66
Investment Fund Managers,Investigative,3.71
Investment Fund Managers,Artistic,1.47
Investment Fund Managers,Social,2.56
Investment Fund Managers,Enterprising,6.77
Investment Fund Managers,Conventional,5.25
Industrial Production Managers,Realistic,4.23
Industrial Production Managers,Investigative,2.94
Industrial Production Managers,Artistic,1.33
Industrial Production Managers,Social,1.83
Industrial Production Managers,Enterprising,5.92
Industrial Production Managers,Conventional,5.29
Quality Control Systems Managers,Realistic,3.6
Quality Control Systems Managers,Investigative,4.02
Quality Control Systems Managers,Artistic,1.17
Quality Control Systems Managers,Social,2.07
Quality Control Systems Managers,Enterprising,5.05
Quality Control Systems Managers,Conventional,5.7
Geothermal Production Managers,Realistic,5.35
Geothermal Production Managers,Investigative,3.35
Geothermal Production Managers,Artistic,1
Geothermal Production Managers,Social,2.07
Geothermal Production Managers,Enterprising,4.58
Geothermal Production Managers,Conventional,4.82
Biofuels Production Managers,Realistic,4.59
Biofuels Production Managers,Investigative,3.74
Biofuels Production Managers,Artistic,1
Biofuels Production Managers,Social,1.83
Biofuels Production Managers,Enterprising,5.41
Biofuels Production Managers,Conventional,5.06
Biomass Power Plant Managers,Realistic,5.12
Biomass Power Plant Managers,Investigative,3.19
Biomass Power Plant Managers,Artistic,1
Biomass Power Plant Managers,Social,1.72
Biomass Power Plant Managers,Enterprising,4.86
Biomass Power Plant Managers,Conventional,5.34
Hydroelectric Production Managers,Realistic,5.37
Hydroelectric Production Managers,Investigative,3.64
Hydroelectric Production Managers,Artistic,1
Hydroelectric Production Managers,Social,1.83
Hydroelectric Production Managers,Enterprising,4.57
Hydroelectric Production Managers,Conventional,5.02
Purchasing Managers,Realistic,2.04
Purchasing Managers,Investigative,2.01
Purchasing Managers,Artistic,1.4
Purchasing Managers,Social,2.77
Purchasing Managers,Enterprising,7
Purchasing Managers,Conventional,5.55
Transportation - Storage - and Distribution Managers,Realistic,3.6
Transportation - Storage - and Distribution Managers,Investigative,2.64
Transportation - Storage - and Distribution Managers,Artistic,1
Transportation - Storage - and Distribution Managers,Social,2.39
Transportation - Storage - and Distribution Managers,Enterprising,6
Transportation - Storage - and Distribution Managers,Conventional,5.74
Supply Chain Managers,Realistic,3.42
Supply Chain Managers,Investigative,2.55
Supply Chain Managers,Artistic,1
Supply Chain Managers,Social,2.05
Supply Chain Managers,Enterprising,6.31
Supply Chain Managers,Conventional,5.4
Compensation and Benefits Managers,Realistic,1
Compensation and Benefits Managers,Investigative,2.44
Compensation and Benefits Managers,Artistic,1.49
Compensation and Benefits Managers,Social,3.69
Compensation and Benefits Managers,Enterprising,7
Compensation and Benefits Managers,Conventional,5.56
Human Resources Managers,Realistic,1.09
Human Resources Managers,Investigative,2.68
Human Resources Managers,Artistic,1.71
Human Resources Managers,Social,3.88
Human Resources Managers,Enterprising,7
Human Resources Managers,Conventional,5.19
Training and Development Managers,Realistic,1.95
Training and Development Managers,Investigative,3.26
Training and Development Managers,Artistic,2.62
Training and Development Managers,Social,5.54
Training and Development Managers,Enterprising,6.35
Training and Development Managers,Conventional,3.93
Farmers - Ranchers - and Other Agricultural Managers,Realistic,5.16
Farmers - Ranchers - and Other Agricultural Managers,Investigative,2.77
Farmers - Ranchers - and Other Agricultural Managers,Artistic,1.04
Farmers - Ranchers - and Other Agricultural Managers,Social,2.63
Farmers - Ranchers - and Other Agricultural Managers,Enterprising,5.54
Farmers - Ranchers - and Other Agricultural Managers,Conventional,4.51
Construction Managers,Realistic,4.69
Construction Managers,Investigative,3.08
Construction Managers,Artistic,1.73
Construction Managers,Social,2.34
Construction Managers,Enterprising,5.74
Construction Managers,Conventional,4.81
Education and Childcare Administrators - Preschool and Daycare,Realistic,1.08
Education and Childcare Administrators - Preschool and Daycare,Investigative,3.03
Education and Childcare Administrators - Preschool and Daycare,Artistic,2.88
Education and Childcare Administrators - Preschool and Daycare,Social,6.6
Education and Childcare Administrators - Preschool and Daycare,Enterprising,4.76
Education and Childcare Administrators - Preschool and Daycare,Conventional,4.28
Education Administrators - Kindergarten through Secondary,Realistic,1.18
Education Administrators - Kindergarten through Secondary,Investigative,3.32
Education Administrators - Kindergarten through Secondary,Artistic,2.95
Education Administrators - Kindergarten through Secondary,Social,5.87
Education Administrators - Kindergarten through Secondary,Enterprising,5.17
Education Administrators - Kindergarten through Secondary,Conventional,4.48
Education Administrators - Postsecondary,Realistic,1
Education Administrators - Postsecondary,Investigative,4
Education Administrators - Postsecondary,Artistic,2.91
Education Administrators - Postsecondary,Social,5.8
Education Administrators - Postsecondary,Enterprising,5.19
Education Administrators - Postsecondary,Conventional,4.67
Architectural and Engineering Managers,Realistic,3.17
Architectural and Engineering Managers,Investigative,4.46
Architectural and Engineering Managers,Artistic,2.66
Architectural and Engineering Managers,Social,2.84
Architectural and Engineering Managers,Enterprising,6.38
Architectural and Engineering Managers,Conventional,4.58
Biofuels/Biodiesel Technology and Product Development Managers,Realistic,4.16
Biofuels/Biodiesel Technology and Product Development Managers,Investigative,5.84
Biofuels/Biodiesel Technology and Product Development Managers,Artistic,2.11
Biofuels/Biodiesel Technology and Product Development Managers,Social,2.1
Biofuels/Biodiesel Technology and Product Development Managers,Enterprising,4.7
Biofuels/Biodiesel Technology and Product Development Managers,Conventional,3.51
Food Service Managers,Realistic,3.96
Food Service Managers,Investigative,1.86
Food Service Managers,Artistic,1.59
Food Service Managers,Social,3.51
Food Service Managers,Enterprising,5.95
Food Service Managers,Conventional,5.29
Gambling Managers,Realistic,2.94
Gambling Managers,Investigative,1.32
Gambling Managers,Artistic,1
Gambling Managers,Social,2.63
Gambling Managers,Enterprising,6.71
Gambling Managers,Conventional,5.44
Entertainment and Recreation Managers - Except Gambling,Realistic,4.11
Entertainment and Recreation Managers - Except Gambling,Investigative,2.04
Entertainment and Recreation Managers - Except Gambling,Artistic,1.88
Entertainment and Recreation Managers - Except Gambling,Social,3.55
Entertainment and Recreation Managers - Except Gambling,Enterprising,5.86
Entertainment and Recreation Managers - Except Gambling,Conventional,4.78
Lodging Managers,Realistic,2.45
Lodging Managers,Investigative,1.17
Lodging Managers,Artistic,1.45
Lodging Managers,Social,4.22
Lodging Managers,Enterprising,6.29
Lodging Managers,Conventional,5.31
Medical and Health Services Managers,Realistic,2.15
Medical and Health Services Managers,Investigative,3.85
Medical and Health Services Managers,Artistic,1.32
Medical and Health Services Managers,Social,4.24
Medical and Health Services Managers,Enterprising,5.65
Medical and Health Services Managers,Conventional,5.63
Natural Sciences Managers,Realistic,3.04
Natural Sciences Managers,Investigative,5.73
Natural Sciences Managers,Artistic,2.51
Natural Sciences Managers,Social,2.97
Natural Sciences Managers,Enterprising,5.63
Natural Sciences Managers,Conventional,4.19
Clinical Research Coordinators,Realistic,1.98
Clinical Research Coordinators,Investigative,5.74
Clinical Research Coordinators,Artistic,1.53
Clinical Research Coordinators,Social,3.57
Clinical Research Coordinators,Enterprising,4.27
Clinical Research Coordinators,Conventional,5.04
Water Resource Specialists,Realistic,4.45
Water Resource Specialists,Investigative,5.8
Water Resource Specialists,Artistic,1.78
Water Resource Specialists,Social,2.58
Water Resource Specialists,Enterprising,3.53
Water Resource Specialists,Conventional,4.17
Postmasters and Mail Superintendents,Realistic,2.08
Postmasters and Mail Superintendents,Investigative,1.16
Postmasters and Mail Superintendents,Artistic,1.07
Postmasters and Mail Superintendents,Social,3.37
Postmasters and Mail Superintendents,Enterprising,6
Postmasters and Mail Superintendents,Conventional,5.94
Property - Real Estate - and Community Association Managers,Realistic,3.14
Property - Real Estate - and Community Association Managers,Investigative,2.22
Property - Real Estate - and Community Association Managers,Artistic,1.75
Property - Real Estate - and Community Association Managers,Social,3.49
Property - Real Estate - and Community Association Managers,Enterprising,6.77
Property - Real Estate - and Community Association Managers,Conventional,5.36
Social and Community Service Managers,Realistic,1
Social and Community Service Managers,Investigative,2.15
Social and Community Service Managers,Artistic,2.34
Social and Community Service Managers,Social,5.35
Social and Community Service Managers,Enterprising,7
Social and Community Service Managers,Conventional,4.55
Emergency Management Directors,Realistic,3.6
Emergency Management Directors,Investigative,4.56
Emergency Management Directors,Artistic,1.78
Emergency Management Directors,Social,4
Emergency Management Directors,Enterprising,4.99
Emergency Management Directors,Conventional,4.66
Funeral Home Managers,Realistic,2.99
Funeral Home Managers,Investigative,2.04
Funeral Home Managers,Artistic,1.86
Funeral Home Managers,Social,4.38
Funeral Home Managers,Enterprising,6.51
Funeral Home Managers,Conventional,4.76
Fitness and Wellness Coordinators,Realistic,2.98
Fitness and Wellness Coordinators,Investigative,2.79
Fitness and Wellness Coordinators,Artistic,2.12
Fitness and Wellness Coordinators,Social,5.62
Fitness and Wellness Coordinators,Enterprising,5.4
Fitness and Wellness Coordinators,Conventional,3.66
Spa Managers,Realistic,2.51
Spa Managers,Investigative,1.16
Spa Managers,Artistic,1.53
Spa Managers,Social,3.93
Spa Managers,Enterprising,7
Spa Managers,Conventional,5.67
Regulatory Affairs Managers,Realistic,1.75
Regulatory Affairs Managers,Investigative,2.84
Regulatory Affairs Managers,Artistic,1.25
Regulatory Affairs Managers,Social,2.64
Regulatory Affairs Managers,Enterprising,6.41
Regulatory Affairs Managers,Conventional,6.05
Compliance Managers,Realistic,1.92
Compliance Managers,Investigative,2.98
Compliance Managers,Artistic,1
Compliance Managers,Social,3.1
Compliance Managers,Enterprising,5.93
Compliance Managers,Conventional,6.3
Loss Prevention Managers,Realistic,3.79
Loss Prevention Managers,Investigative,3.71
Loss Prevention Managers,Artistic,1
Loss Prevention Managers,Social,2.7
Loss Prevention Managers,Enterprising,5.63
Loss Prevention Managers,Conventional,5.64
Wind Energy Operations Managers,Realistic,4.16
Wind Energy Operations Managers,Investigative,3.04
Wind Energy Operations Managers,Artistic,1
Wind Energy Operations Managers,Social,2.34
Wind Energy Operations Managers,Enterprising,6.47
Wind Energy Operations Managers,Conventional,5.24
Wind Energy Development Managers,Realistic,3.44
Wind Energy Development Managers,Investigative,3.86
Wind Energy Development Managers,Artistic,1.66
Wind Energy Development Managers,Social,2.38
Wind Energy Development Managers,Enterprising,6.71
Wind Energy Development Managers,Conventional,4.82
Brownfield Redevelopment Specialists and Site Managers,Realistic,4.49
Brownfield Redevelopment Specialists and Site Managers,Investigative,4.31
Brownfield Redevelopment Specialists and Site Managers,Artistic,1.46
Brownfield Redevelopment Specialists and Site Managers,Social,2.03
Brownfield Redevelopment Specialists and Site Managers,Enterprising,4.54
Brownfield Redevelopment Specialists and Site Managers,Conventional,4.69
Agents and Business Managers of Artists - Performers - and Athletes,Realistic,1
Agents and Business Managers of Artists - Performers - and Athletes,Investigative,1.65
Agents and Business Managers of Artists - Performers - and Athletes,Artistic,3.52
Agents and Business Managers of Artists - Performers - and Athletes,Social,4.01
Agents and Business Managers of Artists - Performers - and Athletes,Enterprising,6.35
Agents and Business Managers of Artists - Performers - and Athletes,Conventional,3.9
Buyers and Purchasing Agents - Farm Products,Realistic,4.68
Buyers and Purchasing Agents - Farm Products,Investigative,1.8
Buyers and Purchasing Agents - Farm Products,Artistic,1.03
Buyers and Purchasing Agents - Farm Products,Social,1.7
Buyers and Purchasing Agents - Farm Products,Enterprising,4.86
Buyers and Purchasing Agents - Farm Products,Conventional,4.86
Wholesale and Retail Buyers - Except Farm Products,Realistic,3.41
Wholesale and Retail Buyers - Except Farm Products,Investigative,1.9
Wholesale and Retail Buyers - Except Farm Products,Artistic,1.58
Wholesale and Retail Buyers - Except Farm Products,Social,2.43
Wholesale and Retail Buyers - Except Farm Products,Enterprising,5.2
Wholesale and Retail Buyers - Except Farm Products,Conventional,5.15
Purchasing Agents - Except Wholesale - Retail - and Farm Products,Realistic,3.39
Purchasing Agents - Except Wholesale - Retail - and Farm Products,Investigative,1.91
Purchasing Agents - Except Wholesale - Retail - and Farm Products,Artistic,1.12
Purchasing Agents - Except Wholesale - Retail - and Farm Products,Social,1.93
Purchasing Agents - Except Wholesale - Retail - and Farm Products,Enterprising,4.99
Purchasing Agents - Except Wholesale - Retail - and Farm Products,Conventional,5.69
Claims Adjusters - Examiners - and Investigators,Realistic,1.11
Claims Adjusters - Examiners - and Investigators,Investigative,3.4
Claims Adjusters - Examiners - and Investigators,Artistic,1
Claims Adjusters - Examiners - and Investigators,Social,2.63
Claims Adjusters - Examiners - and Investigators,Enterprising,4.8
Claims Adjusters - Examiners - and Investigators,Conventional,6.24
Insurance Appraisers - Auto Damage,Realistic,5.05
Insurance Appraisers - Auto Damage,Investigative,3.03
Insurance Appraisers - Auto Damage,Artistic,1.12
Insurance Appraisers - Auto Damage,Social,1.7
Insurance Appraisers - Auto Damage,Enterprising,3.6
Insurance Appraisers - Auto Damage,Conventional,5.46
Compliance Officers,Realistic,2.58
Compliance Officers,Investigative,3.05
Compliance Officers,Artistic,1
Compliance Officers,Social,2.95
Compliance Officers,Enterprising,4.06
Compliance Officers,Conventional,6.32
Environmental Compliance Inspectors,Realistic,4.57
Environmental Compliance Inspectors,Investigative,4.77
Environmental Compliance Inspectors,Artistic,1.05
Environmental Compliance Inspectors,Social,2.35
Environmental Compliance Inspectors,Enterprising,3.21
Environmental Compliance Inspectors,Conventional,5.84
Equal Opportunity Representatives and Officers,Realistic,1.23
Equal Opportunity Representatives and Officers,Investigative,3.01
Equal Opportunity Representatives and Officers,Artistic,1.73
Equal Opportunity Representatives and Officers,Social,4.24
Equal Opportunity Representatives and Officers,Enterprising,5.37
Equal Opportunity Representatives and Officers,Conventional,5.21
Government Property Inspectors and Investigators,Realistic,3.09
Government Property Inspectors and Investigators,Investigative,3.32
Government Property Inspectors and Investigators,Artistic,1
Government Property Inspectors and Investigators,Social,2.41
Government Property Inspectors and Investigators,Enterprising,4.2
Government Property Inspectors and Investigators,Conventional,6.26
Coroners,Realistic,4.08
Coroners,Investigative,4.86
Coroners,Artistic,1.52
Coroners,Social,3.13
Coroners,Enterprising,3.92
Coroners,Conventional,4.81
Regulatory Affairs Specialists,Realistic,1.48
Regulatory Affairs Specialists,Investigative,3.33
Regulatory Affairs Specialists,Artistic,1
Regulatory Affairs Specialists,Social,2.46
Regulatory Affairs Specialists,Enterprising,4.46
Regulatory Affairs Specialists,Conventional,6.32
Customs Brokers,Realistic,2.43
Customs Brokers,Investigative,1.53
Customs Brokers,Artistic,1
Customs Brokers,Social,2.2
Customs Brokers,Enterprising,5.07
Customs Brokers,Conventional,6.13
Cost Estimators,Realistic,3.1
Cost Estimators,Investigative,3.25
Cost Estimators,Artistic,1.05
Cost Estimators,Social,1.66
Cost Estimators,Enterprising,4.71
Cost Estimators,Conventional,6.44
Human Resources Specialists,Realistic,1.07
Human Resources Specialists,Investigative,2.49
Human Resources Specialists,Artistic,1.44
Human Resources Specialists,Social,3.78
Human Resources Specialists,Enterprising,5.75
Human Resources Specialists,Conventional,5.5
Farm Labor Contractors,Realistic,4.85
Farm Labor Contractors,Investigative,1.54
Farm Labor Contractors,Artistic,1
Farm Labor Contractors,Social,3.24
Farm Labor Contractors,Enterprising,4.99
Farm Labor Contractors,Conventional,4.39
Labor Relations Specialists,Realistic,1.26
Labor Relations Specialists,Investigative,3
Labor Relations Specialists,Artistic,1.65
Labor Relations Specialists,Social,3.83
Labor Relations Specialists,Enterprising,5.68
Labor Relations Specialists,Conventional,4.66
Logisticians,Realistic,2.39
Logisticians,Investigative,3.83
Logisticians,Artistic,1.05
Logisticians,Social,2.35
Logisticians,Enterprising,5.1
Logisticians,Conventional,5.58
Logistics Engineers,Realistic,4
Logistics Engineers,Investigative,5.46
Logistics Engineers,Artistic,1.06
Logistics Engineers,Social,1.21
Logistics Engineers,Enterprising,3.59
Logistics Engineers,Conventional,5.73
Logistics Analysts,Realistic,3.22
Logistics Analysts,Investigative,3.98
Logistics Analysts,Artistic,1
Logistics Analysts,Social,1.55
Logistics Analysts,Enterprising,4.41
Logistics Analysts,Conventional,6.84
Project Management Specialists,Realistic,1.46
Project Management Specialists,Investigative,2.76
Project Management Specialists,Artistic,1.58
Project Management Specialists,Social,3.35
Project Management Specialists,Enterprising,6.36
Project Management Specialists,Conventional,5.56
Management Analysts,Realistic,1.58
Management Analysts,Investigative,5.46
Management Analysts,Artistic,1.58
Management Analysts,Social,2.77
Management Analysts,Enterprising,4.76
Management Analysts,Conventional,6.13
Meeting - Convention - and Event Planners,Realistic,1
Meeting - Convention - and Event Planners,Investigative,1.43
Meeting - Convention - and Event Planners,Artistic,2.44
Meeting - Convention - and Event Planners,Social,4.52
Meeting - Convention - and Event Planners,Enterprising,7
Meeting - Convention - and Event Planners,Conventional,5.27
Fundraisers,Realistic,1
Fundraisers,Investigative,1.99
Fundraisers,Artistic,3.26
Fundraisers,Social,4.18
Fundraisers,Enterprising,5.98
Fundraisers,Conventional,4.13
Compensation - Benefits - and Job Analysis Specialists,Realistic,1.43
Compensation - Benefits - and Job Analysis Specialists,Investigative,3.5
Compensation - Benefits - and Job Analysis Specialists,Artistic,1.28
Compensation - Benefits - and Job Analysis Specialists,Social,3.27
Compensation - Benefits - and Job Analysis Specialists,Enterprising,5.11
Compensation - Benefits - and Job Analysis Specialists,Conventional,5.96
Training and Development Specialists,Realistic,1.97
Training and Development Specialists,Investigative,3.92
Training and Development Specialists,Artistic,3.09
Training and Development Specialists,Social,5.66
Training and Development Specialists,Enterprising,3.76
Training and Development Specialists,Conventional,3.93
Market Research Analysts and Marketing Specialists,Realistic,1.07
Market Research Analysts and Marketing Specialists,Investigative,4.6
Market Research Analysts and Marketing Specialists,Artistic,2.56
Market Research Analysts and Marketing Specialists,Social,2.48
Market Research Analysts and Marketing Specialists,Enterprising,5.52
Market Research Analysts and Marketing Specialists,Conventional,4.62
Search Marketing Strategists,Realistic,1
Search Marketing Strategists,Investigative,3.81
Search Marketing Strategists,Artistic,3.23
Search Marketing Strategists,Social,2.7
Search Marketing Strategists,Enterprising,5.53
Search Marketing Strategists,Conventional,4.69
Business Continuity Planners,Realistic,2.04
Business Continuity Planners,Investigative,4.41
Business Continuity Planners,Artistic,1.65
Business Continuity Planners,Social,3.06
Business Continuity Planners,Enterprising,5.31
Business Continuity Planners,Conventional,5.1
Sustainability Specialists,Realistic,2.06
Sustainability Specialists,Investigative,5.2
Sustainability Specialists,Artistic,2.5
Sustainability Specialists,Social,2.95
Sustainability Specialists,Enterprising,5.09
Sustainability Specialists,Conventional,4.41
Online Merchants,Realistic,2.34
Online Merchants,Investigative,1.5
Online Merchants,Artistic,1.58
Online Merchants,Social,2.37
Online Merchants,Enterprising,5.86
Online Merchants,Conventional,6.25
Security Management Specialists,Realistic,3.91
Security Management Specialists,Investigative,5.12
Security Management Specialists,Artistic,1.68
Security Management Specialists,Social,1.98
Security Management Specialists,Enterprising,3.6
Security Management Specialists,Conventional,5.64
Accountants and Auditors,Realistic,1.14
Accountants and Auditors,Investigative,3.57
Accountants and Auditors,Artistic,1.09
Accountants and Auditors,Social,2.13
Accountants and Auditors,Enterprising,3.86
Accountants and Auditors,Conventional,7
Appraisers of Personal and Business Property,Realistic,3.57
Appraisers of Personal and Business Property,Investigative,2.61
Appraisers of Personal and Business Property,Artistic,2.03
Appraisers of Personal and Business Property,Social,1.7
Appraisers of Personal and Business Property,Enterprising,4.68
Appraisers of Personal and Business Property,Conventional,6.02
Appraisers and Assessors of Real Estate,Realistic,2.72
Appraisers and Assessors of Real Estate,Investigative,2.78
Appraisers and Assessors of Real Estate,Artistic,1.61
Appraisers and Assessors of Real Estate,Social,2.66
Appraisers and Assessors of Real Estate,Enterprising,4.81
Appraisers and Assessors of Real Estate,Conventional,5.91
Budget Analysts,Realistic,1
Budget Analysts,Investigative,3.81
Budget Analysts,Artistic,1.53
Budget Analysts,Social,2.2
Budget Analysts,Enterprising,4.76
Budget Analysts,Conventional,6.92
Credit Analysts,Realistic,1
Credit Analysts,Investigative,3.83
Credit Analysts,Artistic,1
Credit Analysts,Social,2.42
Credit Analysts,Enterprising,4.5
Credit Analysts,Conventional,6.89
Financial and Investment Analysts,Realistic,1
Financial and Investment Analysts,Investigative,5.06
Financial and Investment Analysts,Artistic,1.78
Financial and Investment Analysts,Social,2.25
Financial and Investment Analysts,Enterprising,5.09
Financial and Investment Analysts,Conventional,5.54
Personal Financial Advisors,Realistic,1
Personal Financial Advisors,Investigative,3.17
Personal Financial Advisors,Artistic,1.74
Personal Financial Advisors,Social,4.2
Personal Financial Advisors,Enterprising,5.88
Personal Financial Advisors,Conventional,5.58
Insurance Underwriters,Realistic,1.57
Insurance Underwriters,Investigative,3.52
Insurance Underwriters,Artistic,1
Insurance Underwriters,Social,2.88
Insurance Underwriters,Enterprising,4.48
Insurance Underwriters,Conventional,6.27
Financial Risk Specialists,Realistic,1.68
Financial Risk Specialists,Investigative,4.98
Financial Risk Specialists,Artistic,1.29
Financial Risk Specialists,Social,2.49
Financial Risk Specialists,Enterprising,4.92
Financial Risk Specialists,Conventional,5.36
Financial Examiners,Realistic,1
Financial Examiners,Investigative,3.54
Financial Examiners,Artistic,1
Financial Examiners,Social,2.7
Financial Examiners,Enterprising,4.71
Financial Examiners,Conventional,6.16
Credit Counselors,Realistic,1
Credit Counselors,Investigative,2.62
Credit Counselors,Artistic,1.8
Credit Counselors,Social,4.85
Credit Counselors,Enterprising,4.73
Credit Counselors,Conventional,5.46
Loan Officers,Realistic,1.24
Loan Officers,Investigative,2.3
Loan Officers,Artistic,1
Loan Officers,Social,3.76
Loan Officers,Enterprising,5.03
Loan Officers,Conventional,6.02
Tax Examiners and Collectors - and Revenue Agents,Realistic,1.29
Tax Examiners and Collectors - and Revenue Agents,Investigative,2.24
Tax Examiners and Collectors - and Revenue Agents,Artistic,1
Tax Examiners and Collectors - and Revenue Agents,Social,3.17
Tax Examiners and Collectors - and Revenue Agents,Enterprising,4.36
Tax Examiners and Collectors - and Revenue Agents,Conventional,6.79
Tax Preparers,Realistic,1.97
Tax Preparers,Investigative,2.36
Tax Preparers,Artistic,1
Tax Preparers,Social,2.42
Tax Preparers,Enterprising,3.53
Tax Preparers,Conventional,6.62
Financial Quantitative Analysts,Realistic,1.76
Financial Quantitative Analysts,Investigative,6.6
Financial Quantitative Analysts,Artistic,1.82
Financial Quantitative Analysts,Social,1.61
Financial Quantitative Analysts,Enterprising,3.42
Financial Quantitative Analysts,Conventional,5.88
Fraud Examiners - Investigators and Analysts,Realistic,1.85
Fraud Examiners - Investigators and Analysts,Investigative,4.54
Fraud Examiners - Investigators and Analysts,Artistic,1.11
Fraud Examiners - Investigators and Analysts,Social,1.84
Fraud Examiners - Investigators and Analysts,Enterprising,4.63
Fraud Examiners - Investigators and Analysts,Conventional,6.09
Computer Systems Analysts,Realistic,3.34
Computer Systems Analysts,Investigative,6.36
Computer Systems Analysts,Artistic,1.98
Computer Systems Analysts,Social,1.89
Computer Systems Analysts,Enterprising,2.26
Computer Systems Analysts,Conventional,5.89
Health Informatics Specialists,Realistic,2.97
Health Informatics Specialists,Investigative,6.23
Health Informatics Specialists,Artistic,1.93
Health Informatics Specialists,Social,4.63
Health Informatics Specialists,Enterprising,2.1
Health Informatics Specialists,Conventional,4.74
Information Security Analysts,Realistic,3.61
Information Security Analysts,Investigative,5.43
Information Security Analysts,Artistic,1.32
Information Security Analysts,Social,2.03
Information Security Analysts,Enterprising,2.82
Information Security Analysts,Conventional,6.16
Computer and Information Research Scientists,Realistic,3.94
Computer and Information Research Scientists,Investigative,7
Computer and Information Research Scientists,Artistic,2.86
Computer and Information Research Scientists,Social,2.04
Computer and Information Research Scientists,Enterprising,2.42
Computer and Information Research Scientists,Conventional,4.8
Computer Network Support Specialists,Realistic,4.31
Computer Network Support Specialists,Investigative,4.61
Computer Network Support Specialists,Artistic,1
Computer Network Support Specialists,Social,2.33
Computer Network Support Specialists,Enterprising,2.71
Computer Network Support Specialists,Conventional,5.49
Computer User Support Specialists,Realistic,4.06
Computer User Support Specialists,Investigative,3.85
Computer User Support Specialists,Artistic,1
Computer User Support Specialists,Social,3.32
Computer User Support Specialists,Enterprising,2.31
Computer User Support Specialists,Conventional,5.89
Computer Network Architects,Realistic,4.06
Computer Network Architects,Investigative,5.33
Computer Network Architects,Artistic,2.24
Computer Network Architects,Social,2.19
Computer Network Architects,Enterprising,3.17
Computer Network Architects,Conventional,5.07
Telecommunications Engineering Specialists,Realistic,4.87
Telecommunications Engineering Specialists,Investigative,4.36
Telecommunications Engineering Specialists,Artistic,1.87
Telecommunications Engineering Specialists,Social,2.08
Telecommunications Engineering Specialists,Enterprising,3.16
Telecommunications Engineering Specialists,Conventional,4.95
Database Administrators,Realistic,2.7
Database Administrators,Investigative,4.76
Database Administrators,Artistic,1.3
Database Administrators,Social,2.28
